Ngày,Giá đóng,Giá trị thay đổi,% thay đổi,Giá mở,Giá cao nhất,Giá thấp nhất,Tổng KL GD,Tổng GT GD
12/07/2024,"133,800",0.80,0.60,"133,000","136,000","132,200","355,340","47,544,492,000"
11/07/2024,"133,000",-1.00,-0.75,"134,000","135,400","132,500","684,210","90,999,930,000"
10/07/2024,"134,000",-3.50,-2.61,"137,500","137,000","134,000","629,470","84,348,980,000"
09/07/2024,"137,500",-2.10,-1.53,"139,600","139,300","136,000","967,610","133,046,375,000"
08/07/2024,"139,600",0.90,0.64,"138,700","139,600","137,500","586,570","81,885,172,000"
05/07/2024,"138,700",2.90,2.09,"135,800","139,700","136,100","778,940","108,038,978,000"
04/07/2024,"135,800",4.80,3.53,"131,000","135,800","132,100","811,790","110,241,082,000"
03/07/2024,"131,000",3.00,2.29,"128,000","132,800","130,100","763,410","100,006,710,000"
02/07/2024,"128,000",-0.60,-0.47,"128,600","132,100","127,500","672,060","86,023,680,000"
01/07/2024,"128,600",-1.90,-1.48,"130,500","130,400","128,500","637,600","81,995,360,000"
28/06/2024,"130,500",-2.30,-1.76,"132,800","132,800","130,400","663,300","86,560,650,000"
27/06/2024,"132,800",1.00,0.75,"131,800","134,100","130,800","640,370","85,041,136,000"
26/06/2024,"131,800",1.80,1.37,"130,000","131,800","129,400","714,740","94,202,732,000"
25/06/2024,"130,000",-2.10,-1.62,"132,100","131,100","128,600","1,370,680","178,188,400,000"
24/06/2024,"132,100",-4.00,-3.03,"136,100","135,500","132,000","1,318,690","174,198,949,000"
21/06/2024,"136,100",2.80,2.06,"133,300","136,100","133,300","765,330","104,161,413,000"
20/06/2024,"133,300",1.80,1.35,"131,500","135,700","131,800","1,046,570","139,507,781,000"
19/06/2024,"131,500",3.50,2.66,"128,000","132,800","126,600","966,920","127,149,980,000"
18/06/2024,"128,000",-0.80,-0.63,"128,800","129,700","128,000","668,000","85,504,000,000"
17/06/2024,"128,800",-2.20,-1.71,"131,000","131,400","128,500","486,760","62,694,688,000"
14/06/2024,"131,000",1.00,0.76,"130,000","132,600","129,000","640,620","83,921,220,000"
13/06/2024,"130,000",-2.00,-1.54,"132,000","133,800","130,000","813,620","105,770,600,000"
12/06/2024,"132,000",5.50,4.17,"126,500","132,700","127,800","1,121,550","148,044,600,000"
11/06/2024,"146,500",2.50,1.71,"144,000","146,500","143,100","632,730","92,694,945,000"
10/06/2024,"144,000",2.00,1.39,"142,000","145,000","143,000","377,540","54,365,760,000"
07/06/2024,"142,000",2.40,1.69,"139,600","142,000","140,500","375,690","53,347,980,000"
06/06/2024,"139,600",-0.50,-0.36,"140,100","141,700","138,800","521,180","72,756,728,000"
05/06/2024,"140,100",1.00,0.71,"139,100","144,900","139,700","632,160","88,565,616,000"
04/06/2024,"139,100",2.20,1.58,"136,900","139,300","137,800","700,980","97,506,318,000"
03/06/2024,"136,900",2.30,1.68,"134,600","137,600","134,700","777,360","106,420,584,000"
31/05/2024,"134,600",-0.40,-0.30,"135,000","136,800","133,800","263,350","35,446,910,000"
30/05/2024,"135,000",-0.70,-0.52,"135,700","135,000","131,900","726,130","98,027,550,000"
29/05/2024,"135,700",-1.30,-0.96,"137,000","138,200","134,800","583,760","79,216,232,000"
28/05/2024,"137,000",4.20,3.07,"132,800","137,000","133,100","462,530","63,366,610,000"
27/05/2024,"132,800",0.90,0.68,"131,900","133,500","130,600","515,780","68,495,584,000"
24/05/2024,"131,900",-5.60,-4.25,"137,500","138,000","130,600","1,337,560","176,424,164,000"
23/05/2024,"137,500",-0.50,-0.36,"138,000","137,800","135,000","362,150","49,795,625,000"
22/05/2024,"138,000",2.00,1.45,"136,000","139,700","136,100","451,180","62,262,840,000"
21/05/2024,"136,000",3.00,2.21,"133,000","136,000","133,500","347,190","47,217,840,000"
20/05/2024,"133,000",-1.50,-1.13,"134,500","136,100","133,000","201,350","26,779,550,000"
17/05/2024,"134,500",-0.90,-0.67,"135,400","136,000","133,700","230,640","31,021,080,000"
16/05/2024,"135,400",1.30,0.96,"134,100","137,300","134,200","311,900","42,231,260,000"
15/05/2024,"134,100",3.60,2.68,"130,500","134,500","131,300","365,310","48,988,071,000"
14/05/2024,"130,500",0.80,0.61,"129,700","131,700","129,600","230,460","30,075,030,000"
13/05/2024,"129,700",-1.30,-1.00,"131,000","131,500","128,800","185,220","24,023,034,000"
10/05/2024,"131,000",0.70,0.53,"130,300","132,200","129,200","378,970,000","49,645,070,000,000"
09/05/2024,"130,300",-0.70,-0.54,"131,000","132,800","130,000","220,330","28,708,999,000"
08/05/2024,"131,000",-0.30,-0.23,"131,300","131,000","129,300","301,780","39,533,180,000"
02/05/2024,"127,300",4.10,3.22,"123,200","129,000","123,500","346,930","44,164,189,000"
26/04/2024,"123,200",0.00,0.00,"123,200","125,400","122,200","339,650","41,844,880,000"
25/04/2024,"123,200",3.10,2.52,"120,100","128,000","121,900","570,770","70,318,864,000"
24/04/2024,"120,100",7.80,6.49,"112,300","120,100","113,200","1,015,870","122,005,987,000"
23/04/2024,"112,300",2.00,1.78,"110,300","113,300","109,900","403,760","45,342,248,000"
22/04/2024,"110,300",1.30,1.18,"109,000","111,400","108,900","239,730","26,442,219,000"
19/04/2024,"109,000",-2.80,-2.57,"111,800","111,200","109,000","536,110","58,435,990,000"
17/04/2024,"111,800",-1.20,-1.07,"113,000","113,100","111,600","194,330","21,726,094,000"
16/04/2024,"113,000",1.40,1.24,"111,600","113,200","111,500","364,270","41,162,510,000"
15/04/2024,"111,600",-3.90,-3.49,"115,500","115,600","111,500","370,190","41,313,204,000"
12/04/2024,"115,500",0.60,0.52,"114,900","115,900","114,300","136,730","15,792,315,000"
11/04/2024,"114,900",1.10,0.96,"113,800","115,400","113,300","154,940","17,802,606,000"
10/04/2024,"113,800",0.80,0.70,"113,000","115,600","113,300","179,110","20,382,718,000"
09/04/2024,"113,000",0.40,0.35,"112,600","113,200","112,500","143,250","16,187,250,000"
08/04/2024,"112,600",-1.10,-0.98,"113,700","113,700","112,600","195,200","21,979,520,000"
05/04/2024,"114,100",0.10,0.09,"114,000","114,700","112,600","211,490","24,131,009,000"
04/04/2024,"114,000",-1.10,-0.96,"115,100","115,800","114,000","235,950","26,898,300,000"
03/04/2024,"115,100",-1.90,-1.65,"117,000","117,000","115,100","254,900","29,338,990,000"
02/04/2024,"117,000",0.20,0.17,"116,800","117,000","115,400","228,580","26,743,860,000"
01/04/2024,"116,800",0.30,0.26,"116,500","117,600","115,200","197,460","23,063,328,000"
29/03/2024,"116,500",-0.60,-0.52,"117,100","117,200","116,000","134,350","15,651,775,000"
28/03/2024,"117,100",1.90,1.62,"115,200","117,400","115,300","280,320","32,825,472,000"
27/03/2024,"115,200",0.20,0.17,"115,000","115,300","114,100","132,020","15,208,704,000"
26/03/2024,"115,000",1.00,0.87,"114,000","115,500","113,600","169,330","19,472,950,000"
25/03/2024,"114,000",-0.90,-0.79,"114,900","115,100","113,800","279,440","31,856,160,000"
22/03/2024,"114,900",-1.30,-1.13,"116,200","116,300","114,500","241,480","27,746,052,000"
21/03/2024,"116,200",1.70,1.46,"114,500","116,200","114,600","375,780","43,665,636,000"
20/03/2024,"114,500",2.50,2.18,"112,000","115,000","111,100","347,570","39,796,765,000"
19/03/2024,"112,000",-1.00,-0.89,"113,000","113,000","111,100","331,540","37,132,480,000"
18/03/2024,"113,000",-3.00,-2.65,"116,000","115,800","111,100","588,460","66,495,980,000"
15/03/2024,"116,000",-1.00,-0.86,"117,000","116,800","114,500","383,840","44,525,440,000"
14/03/2024,"117,000",0.00,0.00,"117,000","118,500","115,700","346,300","40,517,100,000"
13/03/2024,"117,000",5.10,4.36,"111,900","117,000","112,000","511,420","59,836,140,000"
12/03/2024,"111,900",1.90,1.70,"110,000","113,500","110,000","290,780","32,538,282,000"
11/03/2024,"110,000",0.00,0.00,"110,000","113,500","110,000","338,150","37,196,500,000"
08/03/2024,"110,000",-1.30,-1.18,"111,300","112,600","109,500","311,560","34,271,600,000"
07/03/2024,"111,300",7.20,6.47,"104,100","113,900","108,200","403,760","44,938,488,000"
06/03/2024,"109,000",-1.70,-1.56,"110,700","110,400","108,700","249,110","27,152,990,000"
05/03/2024,"110,700",-0.70,-0.63,"111,400","111,400","109,900","338,300","37,449,810,000"
04/03/2024,"111,400",0.60,0.54,"110,800","111,800","110,800","308,710","34,390,294,000"
01/03/2024,"110,800",1.80,1.62,"109,000","111,400","109,100","401,940","44,534,952,000"
29/02/2024,"109,000",0.50,0.46,"108,500","109,400","107,700","282,480","30,790,320,000"
28/02/2024,"108,500",0.60,0.55,"107,900","108,500","106,300","346,170","37,559,445,000"
27/02/2024,"107,900",-0.10,-0.09,"108,000","109,500","107,400","280,080","30,220,632,000"
26/02/2024,"108,000",4.10,3.80,"103,900","108,000","103,500","446,670","48,240,360,000"
23/02/2024,"103,900",-0.70,-0.67,"104,600","106,700","103,300","410,350","42,635,365,000"
22/02/2024,"104,600",-1.30,-1.24,"105,900","106,000","104,600","171,870","17,977,602,000"
21/02/2024,"105,900",1.60,1.51,"104,300","106,900","103,500","313,750","33,226,125,000"
20/02/2024,"104,300",-0.70,-0.67,"105,000","105,200","104,000","184,430","19,236,049,000"
19/02/2024,"105,000",-0.10,-0.10,"105,100","107,000","105,000","203,180","21,333,900,000"
16/02/2024,"105,100",1.10,1.05,"104,000","105,100","103,800","206,600","21,713,660,000"
15/02/2024,"104,000",-0.90,-0.87,"104,900","105,500","103,800","224,840","23,383,360,000"
07/02/2024,"104,900",0.80,0.76,"104,100","105,000","103,900","212,540","22,295,446,000"
06/02/2024,"104,100",0.60,0.58,"103,500","105,000","102,900","188,430","19,615,563,000"
05/02/2024,"103,500",1.50,1.45,"102,000","104,100","101,900","269,440","27,887,040,000"
02/02/2024,"102,000",2.10,2.06,"99,900","102,200","100,100","287,610","29,336,220,000"
01/02/2024,"99,900",4.20,4.20,"95,700","99,900","95,700","779,370","77,859,063,000"
31/01/2024,"95,700",0.10,0.10,"95,600","96,000","95,500","138,150","13,220,955,000"
30/01/2024,"95,600",-0.30,-0.31,"95,900","95,900","95,400","94,900","9,072,440,000"
29/01/2024,"95,900",0.00,0.00,"95,900","96,100","95,300","106,070","10,172,113,000"
19/01/2024,"96,300",0.70,0.73,"95,600","96,900","95,700","149,320","14,379,516,000"
18/01/2024,"95,600",-0.10,-0.10,"95,700","96,000","95,200","113,690","10,868,764,000"
17/01/2024,"95,700",0.00,0.00,"95,700","96,000","95,000","141,400","13,531,980,000"
16/01/2024,"95,700",0.30,0.31,"95,400","95,700","94,700","81,000","7,751,700,000"
15/01/2024,"95,400",0.70,0.73,"94,700","95,900","94,900","131,220","12,518,388,000"
12/01/2024,"94,700",-0.30,-0.32,"95,000","95,600","94,100","259,700","24,593,590,000"
11/01/2024,"95,000",0.30,0.32,"94,700","95,400","94,700","137,090","13,023,550,000"
10/01/2024,"94,700",-1.90,-2.01,"96,600","96,900","94,500","330,250","31,274,675,000"
09/01/2024,"96,600",-0.70,-0.72,"97,300","97,300","96,600","121,170","11,705,022,000"
08/01/2024,"97,300",-0.10,-0.10,"97,400","98,300","97,100","144,300","14,040,390,000"
05/01/2024,"97,400",0.20,0.21,"97,200","97,500","96,500","113,860","11,089,964,000"
04/01/2024,"97,200",0.90,0.93,"96,300","98,400","96,200","297,390","28,906,308,000"
03/01/2024,"96,300",0.40,0.42,"95,900","96,500","95,400","143,690","13,837,347,000"
02/01/2024,"95,900",-0.20,-0.21,"96,100","96,900","95,700","171,450","16,442,055,000"
29/12/2023,"96,100",-0.50,-0.52,"96,600","97,000","96,100","186,660","17,938,026,000"
28/12/2023,"96,600",-0.30,-0.31,"96,900","97,000","96,300","119,660","11,559,156,000"
27/12/2023,"96,900",-0.30,-0.31,"97,200","97,800","96,900","135,590","13,138,671,000"
26/12/2023,"97,200",1.20,1.23,"96,000","98,600","96,400","335,990","32,658,228,000"
25/12/2023,"96,000",1.40,1.46,"94,600","96,200","94,800","201,700","19,363,200,000"
22/12/2023,"94,600",-0.50,-0.53,"95,100","95,100","94,400","127,540","12,065,284,000"
21/12/2023,"95,100",0.40,0.42,"94,700","95,100","94,000","175,680","16,707,168,000"
20/12/2023,"94,700",0.10,0.11,"94,600","95,000","94,100","134,950","12,779,765,000"
19/12/2023,"94,600",0.60,0.63,"94,000","94,600","93,600","125,040","11,828,784,000"
18/12/2023,"94,000",-2.20,-2.34,"96,200","96,200","93,700","226,650","21,305,100,000"
15/12/2023,"96,200",0.00,0.00,"96,200","96,300","95,000","147,430","14,182,766,000"
14/12/2023,"96,200",-0.60,-0.62,"96,800","96,400","95,200","171,230","16,472,326,000"
13/12/2023,"95,200",-1.60,-1.68,"96,800",0,0,"214,810","20,449,912,000"
12/12/2023,"96,800",1.80,1.86,"95,000","96,800","95,300","408,490","39,541,832,000"
11/12/2023,"95,000",0.80,0.84,"94,200","95,700","94,600","156,450","14,862,750,000"
08/12/2023,"94,200",-0.10,-0.11,"94,300","95,100","93,500","174,580","16,445,436,000"
07/12/2023,"94,300",-0.70,-0.74,"95,000","95,300","92,800","376,120","35,468,116,000"
06/12/2023,"95,000",0.20,0.21,"94,800","95,400","94,100","122,070","11,596,650,000"
05/12/2023,"94,800",1.20,1.27,"93,600","95,800","93,700","359,020","34,035,096,000"
04/12/2023,"93,600",1.20,1.28,"92,400","94,000","92,600","346,230","32,407,128,000"
02/12/2023,"92,400",0.70,0.76,"91,700","93,700","91,300","119,080","11,002,992,000"
01/12/2023,"92,400",0.70,0.76,"91,700","93,700","91,300","119,080","11,002,992,000"
30/11/2023,"91,900",0.20,0.22,"91,700","93,700","91,300","198,240","18,218,256,000"
29/11/2023,"91,700",0.60,0.65,"91,100","92,000","91,100","80,150","7,349,755,000"
28/11/2023,"91,100",0.40,0.44,"90,700","91,900","89,900","109,070","9,936,277,000"
27/11/2023,"90,700",-0.50,-0.55,"91,200","91,400","90,100","165,950","15,051,665,000"
24/11/2023,"91,200",0.40,0.44,"90,800","92,000","90,200","224,850","20,506,320,000"
23/11/2023,"90,800",-2.20,-2.42,"93,000","93,700","90,800","216,570","19,664,556,000"
22/11/2023,"93,000",1.10,1.18,"91,900","93,100","91,900","327,170","30,426,810,000"
21/11/2023,"91,900",1.20,1.31,"90,700","92,000","90,700","146,070","13,423,833,000"
20/11/2023,"90,700",-0.30,-0.33,"91,000","92,600","89,100","165,650","15,024,455,000"
17/11/2023,"91,000",-2.00,-2.20,"93,000","93,500","90,600","356,790","32,467,890,000"
16/11/2023,"93,000",0.60,0.65,"92,400","93,000","91,600","190,630","17,728,590,000"
15/11/2023,"92,400",-0.20,-0.22,"92,600","93,800","92,000","241,760","22,338,624,000"
14/11/2023,"92,600",1.20,1.30,"91,400","93,400","91,300","199,780","18,499,628,000"
13/11/2023,"91,400",-0.10,-0.11,"91,500","92,000","90,500","153,210","14,003,394,000"
10/11/2023,"91,500",-1.00,-1.09,"92,500","92,700","91,300","240,650","22,019,475,000"
09/11/2023,"92,500",-0.10,-0.11,"92,600","93,300","91,800","211,020","19,519,350,000"
08/11/2023,"92,600",4.30,4.64,"88,300","92,600","88,000","294,320","27,254,032,000"
07/11/2023,"88,300",-0.20,-0.23,"88,500","88,800","87,900","134,020","11,833,966,000"
06/11/2023,"88,500",1.50,1.69,"87,000","88,900","87,800","121,010","10,709,385,000"
03/11/2023,"87,000",-2.00,-2.30,"89,000","89,200","87,000","484,230","42,128,010,000"
02/11/2023,"89,000",3.60,4.04,"85,400","89,000","85,900","220,400","19,615,600,000"
01/11/2023,"85,400",2.40,2.81,"83,000","85,400","82,600","217,520","18,576,208,000"
31/10/2023,"84,600",-0.40,-0.47,"85,000","85,300","84,500","33,230","2,811,258,000"
30/10/2023,"85,000",-2.00,-2.35,"87,000","87,100","85,000","186,950","15,890,750,000"
27/10/2023,"87,000",0.20,0.23,"86,800","88,000","86,300","203,480","17,702,760,000"
26/10/2023,"86,800",-4.10,-4.72,"90,900","89,900","86,000","590,950","51,294,460,000"
25/10/2023,"90,900",-1.10,-1.21,"92,000","92,700","90,900","183,650","16,693,785,000"
24/10/2023,"92,000",1.00,1.09,"91,000","92,400","90,800","161,240","14,834,080,000"
23/10/2023,"91,000",-1.90,-2.09,"92,900","93,800","90,800","197,170","17,942,470,000"
20/10/2023,"92,900",0.90,0.97,"92,000","93,000","90,100","286,320","26,599,128,000"
19/10/2023,"92,000",-1.00,-1.09,"93,000","94,300","92,000","302,940","27,870,480,000"
18/10/2023,"93,000",-0.10,-0.11,"93,100","94,900","91,000","614,280","57,128,040,000"
17/10/2023,"93,100",-3.70,-3.97,"96,800","97,800","93,100","242,010","22,531,131,000"
16/10/2023,"96,800",0.70,0.72,"96,100","98,900","96,300","497,460","48,154,128,000"
13/10/2023,"96,100",-0.30,-0.31,"96,400","96,300","95,300","236,210","22,699,781,000"
12/10/2023,"96,400",-0.60,-0.62,"97,000","97,800","96,000","188,120","18,134,768,000"
11/10/2023,"97,000",0.70,0.72,"96,300","98,000","95,900","235,820","22,874,540,000"
10/10/2023,"96,300",0.70,0.73,"95,600","97,200","95,400","325,550","31,350,465,000"
09/10/2023,"95,600",2.90,3.03,"92,700","95,600","92,200","365,700","34,960,920,000"
06/10/2023,"92,700",1.10,1.19,"91,600","92,800","91,000","114,770","10,639,179,000"
05/10/2023,"91,600",-0.90,-0.98,"92,500","93,300","91,600","136,910","12,540,956,000"
04/10/2023,"92,500",0.30,0.32,"92,200","93,400","91,300","159,170","14,723,225,000"
03/10/2023,"92,200",-1.00,-1.08,"93,200","93,500","91,500","200,690","18,503,618,000"
02/10/2023,"93,200",0.40,0.43,"92,800","93,800","92,000","113,750","10,601,500,000"
29/09/2023,"92,800",-1.20,-1.29,"94,000","94,900","92,800","163,530","15,175,584,000"
28/09/2023,"94,000",-0.30,-0.32,"94,300","94,300","91,400","176,440","16,585,360,000"
27/09/2023,"94,300",0.80,0.85,"93,500","94,300","90,400","451,040","42,533,072,000"
26/09/2023,"93,500",-0.80,-0.86,"94,300","95,500","93,100","215,410","20,140,835,000"
22/09/2023,"96,700",-0.10,-0.10,"96,800","97,000","92,600","686,100","66,345,870,000"
21/09/2023,"96,800",-1.70,-1.76,"98,500","98,900","96,300","341,900","33,095,920,000"
20/09/2023,"98,500",0.10,0.10,"98,400","99,700","98,500","244,480","24,081,280,000"
19/09/2023,"98,400",1.50,1.52,"96,900","98,400","95,900","358,360","35,262,624,000"
18/09/2023,"96,900",-0.60,-0.62,"97,500","96,900","95,700","202,690","19,640,661,000"
15/09/2023,"97,500",1.60,1.64,"95,900","97,800","95,300","213,480","20,814,300,000"
14/09/2023,"95,900",-2.10,-2.19,"98,000","98,000","95,500","231,970","22,245,923,000"
13/09/2023,"98,000",-0.90,-0.92,"98,900","99,000","97,400","288,930","28,315,140,000"
12/09/2023,"98,900",1.50,1.52,"97,400","98,900","97,400","268,070","26,512,123,000"
11/09/2023,"97,400",-0.20,-0.21,"97,600","99,500","95,300","514,980","50,159,052,000"
08/09/2023,"97,600",-0.30,-0.31,"97,900","98,500","97,000","211,560","20,648,256,000"
07/09/2023,"97,900",-1.10,-1.12,"99,000","100,800","97,600","324,960","31,813,584,000"
06/09/2023,"99,000",2.20,2.22,"96,800","99,000","96,300","249,100","24,660,900,000"
05/09/2023,"96,800",0.10,0.10,"96,700","98,700","96,800","143,960","13,935,328,000"
31/08/2023,"96,700",0.10,0.10,"96,600","97,500","96,100","140,370","13,573,779,000"
30/08/2023,"96,600",3.00,3.11,"93,600","98,200","93,100","236,070","22,804,362,000"
29/08/2023,"93,600",-0.40,-0.43,"94,000","94,000","92,800","154,740","14,483,664,000"
28/08/2023,"94,000",3.40,3.62,"90,600","94,300","91,000","295,070","27,736,580,000"
25/08/2023,"90,600",0.60,0.66,"90,000","91,000","89,100","279,140","25,290,084,000"
24/08/2023,"90,000",4.50,5.00,"85,500","90,100","85,100","525,160","47,264,400,000"
23/08/2023,"86,500",0.00,0.00,"86,500","86,800","84,700","141,850","12,270,025,000"
22/08/2023,"86,500",0.60,0.69,"85,900","86,500","83,000","233,030","20,157,095,000"
21/08/2023,"85,900",0.40,0.47,"85,500","86,700","85,500","245,280","21,069,552,000"
18/08/2023,"85,500",-0.50,-0.58,"86,000","87,900","84,300","424,370","36,283,635,000"
17/08/2023,"86,000",0.90,1.05,"85,100","87,200","85,000","369,380","31,766,680,000"
16/08/2023,"85,100",1.10,1.29,"84,000","85,200","83,200","259,540","22,086,854,000"
15/08/2023,"84,000",1.40,1.67,"82,600","84,300","81,500","167,560","14,075,040,000"
14/08/2023,"82,600",0.60,0.73,"82,000","83,200","82,000","101,410","8,376,466,000"
11/08/2023,"82,000",-0.20,-0.24,"82,200","83,000","81,500","114,290","9,371,780,000"
